"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2023","127.12","139.46","145.86","123.04","1.12B","-7.89%"
"08/01/2023","138.01","133.55","143.63","126.41","1.21B","3.24%"
"07/01/2023","133.68","130.82","136.65","125.92","1.06B","2.55%"
"06/01/2023","130.36","120.69","131.49","119.93","1.24B","8.11%"
"05/01/2023","120.58","104.95","122.92","101.15","1.43B","14.35%"
"04/01/2023","105.45","102.30","110.86","97.71","1.22B","2.09%"
"03/01/2023","103.29","93.87","103.49","88.12","1.35B","9.61%"
"02/01/2023","94.23","102.53","114.00","92.32","1.36B","-8.63%"
"01/01/2023","103.13","85.46","103.48","81.43","1.39B","22.77%"
"12/01/2022","84.00","96.99","97.23","81.69","1.55B","-12.99%"
"11/01/2022","96.54","103.99","104.58","85.87","2.04B","-5.76%"
"10/01/2022","102.44","113.58","123.00","97.66","1.46B","-9.35%"
"09/01/2022","113.00","126.00","136.49","112.06","1.21B","-10.86%"
"08/01/2022","126.77","134.96","146.57","126.74","1.17B","-6.06%"
"07/01/2022","134.95","106.29","137.65","105.85","1.34B","27.06%"
"06/01/2022","106.21","122.26","128.99","101.43","1.77B","-11.65%"
"05/01/2022","120.21","122.40","126.22","101.26","2.26B","-3.27%"
"04/01/2022","124.28","164.15","168.39","121.62","1.47B","-23.75%"
"03/01/2022","163.00","152.73","170.83","133.57","1.63B","6.15%"
"02/01/2022","153.56","150.00","163.83","138.33","1.69B","2.67%"
"01/01/2022","149.57","167.55","171.40","135.35","1.53B","-10.29%"
"12/01/2021","166.72","177.25","177.99","165.19","1.29B","-4.92%"
"11/01/2021","175.35","168.09","188.11","164.18","1.52B","3.99%"
"10/01/2021","168.62","164.45","173.95","158.81","1.27B","2.66%"
"09/01/2021","164.25","174.82","177.50","163.70","1.25B","-5.35%"
"08/01/2021","173.54","167.66","173.63","158.79","1.26B","4.30%"
"07/01/2021","166.38","171.73","188.65","165.35","1.67B","-3.27%"
"06/01/2021","172.01","162.17","176.24","158.61","1.34B","6.74%"
"05/01/2021","161.15","174.24","174.33","156.37","1.50B","-7.05%"
"04/01/2021","173.37","155.90","177.70","155.78","1.54B","12.07%"
"03/01/2021","154.70","156.39","159.10","144.05","1.56B","0.03%"
"02/01/2021","154.65","162.12","171.70","151.84","1.44B","-3.53%"
"01/01/2021","160.31","163.50","168.19","154.30","1.43B","-1.56%"
"12/01/2020","162.85","159.43","167.53","153.64","1.55B","2.81%"
"11/01/2020","158.40","153.09","168.34","147.51","1.82B","4.34%"
"10/01/2020","151.81","160.40","174.81","150.95","2.33B","-3.58%"
"09/01/2020","157.44","174.48","177.61","143.55","2.32B","-8.76%"
"08/01/2020","172.55","159.03","174.75","153.65","1.67B","9.05%"
"07/01/2020","158.23","137.90","167.21","137.70","2.55B","14.71%"
"06/01/2020","137.94","122.40","139.80","121.86","1.76B","12.95%"
"05/01/2020","122.12","116.84","126.27","112.82","1.65B","-1.28%"
"04/01/2020","123.70","96.65","123.75","94.46","2.49B","26.88%"
"03/01/2020","97.49","95.32","99.82","81.30","3.28B","3.50%"
"02/01/2020","94.19","100.53","109.30","90.56","1.85B","-6.22%"
"01/01/2020","100.44","93.75","102.79","90.77","1.70B","8.71%"
"12/01/2019","92.39","90.22","95.07","86.75","1.37B","2.61%"
"11/01/2019","90.04","89.40","91.23","86.14","1.04B","1.36%"
"10/01/2019","88.83","87.30","89.94","84.25","1.44B","2.34%"
"09/01/2019","86.80","88.50","92.68","85.46","1.24B","-2.26%"
"08/01/2019","88.81","93.59","94.90","87.18","1.60B","-4.85%"
"07/01/2019","93.34","96.15","101.79","92.47","1.46B","-1.42%"
"06/01/2019","94.68","88.00","96.76","83.60","1.49B","6.68%"
"05/01/2019","88.75","96.65","98.22","88.64","1.96B","-7.87%"
"04/01/2019","96.33","90.01","97.82","89.94","1.63B","8.19%"
"03/01/2019","89.04","82.76","91.19","79.33","2.02B","8.60%"
"02/01/2019","81.99","81.94","83.65","78.34","1.62B","-4.60%"
"01/01/2019","85.94","73.26","86.82","73.05","2.68B","14.43%"
"12/01/2018","75.10","88.47","88.92","65.35","3.10B","-11.13%"
"11/01/2018","84.51","81.18","89.20","71.00","2.79B","5.77%"
"10/01/2018","79.90","101.10","101.66","73.82","3.66B","-20.22%"
"09/01/2018","100.15","101.33","102.53","93.25","1.89B","-0.49%"
"08/01/2018","100.64","89.20","101.28","88.80","1.93B","13.24%"
"07/01/2018","88.87","84.14","94.00","83.90","1.95B","4.57%"
"06/01/2018","84.99","81.85","88.16","81.75","1.72B","4.31%"
"05/01/2018","81.48","78.16","81.75","77.30","1.43B","4.05%"
"04/01/2018","78.31","70.88","81.91","67.64","2.60B","8.21%"
"03/01/2018","72.37","75.68","80.88","68.26","2.61B","-4.30%"
"02/01/2018","75.62","72.25","76.44","63.30","2.76B","4.25%"
"01/01/2018","72.54","58.60","73.63","58.53","1.93B","24.06%"
"12/01/2017","58.47","58.60","59.74","56.24","1.16B","-0.63%"
"11/01/2017","58.84","55.27","60.67","54.34","1.54B","6.48%"
"10/01/2017","55.26","48.20","56.14","47.52","1.67B","14.96%"
"09/01/2017","48.07","49.21","50.00","46.59","1.19B","-1.96%"
"08/01/2017","49.03","49.81","50.32","46.82","1.55B","-0.73%"
"07/01/2017","49.39","48.64","54.17","47.55","1.58B","2.05%"
"06/01/2017","48.40","49.93","50.85","46.35","1.92B","-2.67%"
"05/01/2017","49.73","46.39","50.06","46.39","1.52B","7.52%"
"04/01/2017","46.25","44.40","47.48","44.22","1.47B","4.33%"
"03/01/2017","44.33","42.65","44.52","41.67","1.21B","4.92%"
"02/01/2017","42.25","41.46","43.04","40.15","1.43B","2.62%"
"01/01/2017","41.17","37.90","42.19","37.38","1.41B","9.82%"
"12/01/2016","37.49","37.62","39.12","36.84","1.47B","-0.11%"
"11/01/2016","37.53","39.95","40.04","35.51","2.20B","-4.96%"
"10/01/2016","39.49","41.80","42.36","38.73","1.54B","-5.68%"
"09/01/2016","41.87","38.55","42.00","37.80","1.35B","8.87%"
"08/01/2016","38.46","37.99","38.75","37.52","1.00B","1.37%"
"07/01/2016","37.94","35.87","38.30","35.83","1.37B","6.04%"
"06/01/2016","35.78","36.05","36.58","34.11","1.49B","-1.00%"
"05/01/2016","36.14","33.20","36.21","32.80","1.81B","9.58%"
"04/01/2016","32.98","29.52","33.50","29.26","1.57B","11.12%"
"03/01/2016","29.68","27.81","30.16","26.93","1.88B","7.42%"
"02/01/2016","27.63","28.91","29.09","23.70","2.48B","-5.86%"
"01/01/2016","29.35","32.81","32.89","27.36","2.60B","-13.14%"
"12/01/2015","33.79","33.69","34.82","31.76","1.80B","1.65%"
"11/01/2015","33.24","31.36","34.14","31.02","1.75B","6.20%"
"10/01/2015","31.30","25.55","31.54","25.30","1.94B","22.31%"
"09/01/2015","25.59","24.96","27.49","24.52","1.54B","-0.20%"
"08/01/2015","25.64","26.87","27.14","22.55","1.66B","-4.36%"
"07/01/2015","26.81","21.97","29.03","21.28","2.04B","23.55%"
"06/01/2015","21.70","21.52","22.35","20.96","1.10B","1.12%"
"05/01/2015","21.46","21.19","21.95","20.73","1.04B","1.75%"
"04/01/2015","21.09","18.61","22.63","18.42","1.69B","13.33%"
"03/01/2015","18.61","19.04","19.42","18.28","1.11B","-2.10%"
"02/01/2015","19.01","17.50","19.47","17.50","1.42B","7.22%"
"01/01/2015","17.73","15.63","17.98","14.26","2.06B","14.24%"
"12/01/2014","15.52","16.91","17.03","14.65","1.74B","-8.33%"
"11/01/2014","16.93","15.31","17.06","14.61","1.38B","10.87%"
"10/01/2014","15.27","16.10","16.26","14.20","2.22B","-5.27%"
"09/01/2014","16.12","17.00","17.47","15.88","1.36B","-4.90%"
"08/01/2014","16.95","15.68","17.33","15.23","1.24B","8.31%"
"07/01/2014","15.65","16.29","18.24","15.59","1.99B","-3.63%"
"06/01/2014","16.24","15.63","17.04","15.19","1.53B","3.90%"
"05/01/2014","15.63","15.21","15.74","14.22","1.57B","2.76%"
"04/01/2014","15.21","16.90","17.41","14.40","2.77B","-9.57%"
"03/01/2014","16.82","17.94","19.16","16.54","1.51B","-7.12%"
"02/01/2014","18.11","17.95","18.29","16.89","1.66B","1.00%"
"01/01/2014","17.93","19.94","20.40","17.89","1.63B","-10.08%"
"12/01/2013","19.94","19.95","20.28","18.98","1.11B","1.32%"
"11/01/2013","19.68","18.28","19.70","17.09","1.08B","8.13%"
"10/01/2013","18.20","15.71","18.42","14.83","1.55B","16.44%"
"09/01/2013","15.63","14.24","16.03","14.21","870.10M","11.25%"
"08/01/2013","14.05","15.15","15.31","13.97","876.17M","-6.71%"
"07/01/2013","15.06","13.95","15.68","13.86","1.35B","8.50%"
"06/01/2013","13.88","13.45","14.17","13.15","1.17B","3.12%"
"05/01/2013","13.46","12.70","13.60","12.29","1.18B","6.07%"
"04/01/2013","12.69","13.35","13.79","12.43","1.54B","-4.73%"
"03/01/2013","13.32","13.16","13.87","12.60","1.17B","0.83%"
"02/01/2013","13.21","13.45","13.71","12.76","1.37B","-0.53%"
"01/01/2013","13.28","12.80","14.24","12.66","1.69B","5.90%"
"12/01/2012","12.54","12.63","13.16","12.14","1.22B","-0.48%"
"11/01/2012","12.60","11.71","12.63","10.91","1.34B","8.25%"
"10/01/2012","11.64","12.77","13.10","11.15","1.63B","-8.49%"
"09/01/2012","12.72","12.41","13.21","12.23","1.27B","2.50%"
"08/01/2012","12.41","11.71","12.50","11.43","1.20B","6.43%"
"07/01/2012","11.66","11.46","12.04","10.63","1.55B","2.10%"
"06/01/2012","11.42","10.42","11.42","10.32","1.32B","7.23%"
"05/01/2012","10.65","11.47","11.65","10.36","1.86B","-8.19%"
"04/01/2012","11.60","9.90","11.69","9.18","2.21B","14.51%"
"03/01/2012","10.13","8.99","10.49","8.83","2.26B","12.81%"
"02/01/2012","8.98","8.69","9.68","8.60","2.93B","-7.61%"
"01/01/2012","9.72","8.79","9.82","8.68","2.21B","12.37%"
"12/01/2011","8.65","9.59","9.98","8.35","2.51B","-9.99%"
"11/01/2011","9.61","10.41","11.12","9.08","2.73B","-10.02%"
"10/01/2011","10.68","10.85","12.34","9.83","3.19B","-1.20%"
"09/01/2011","10.81","10.76","12.20","10.22","2.87B","0.46%"
"08/01/2011","10.76","11.25","11.37","8.86","3.11B","-3.32%"
"07/01/2011","11.13","10.28","11.36","10.18","1.86B","8.90%"
"06/01/2011","10.22","9.80","10.31","9.08","1.91B","3.97%"
"05/01/2011","9.83","9.83","10.32","9.54","2.13B","0.41%"
"04/01/2011","9.79","9.08","9.89","8.77","2.34B","8.66%"
"03/01/2011","9.01","8.68","9.08","8.03","2.38B","4.04%"
"02/01/2011","8.66","8.53","9.57","8.48","1.92B","2.12%"
"01/01/2011","8.48","9.07","9.58","8.35","2.27B","-5.78%"
"12/01/2010","9.00","8.96","9.28","8.65","1.87B","2.62%"
"11/01/2010","8.77","8.22","9.09","7.84","2.62B","6.17%"
"10/01/2010","8.26","7.85","8.60","7.57","2.86B","5.22%"
"09/01/2010","7.85","6.32","8.09","6.31","2.69B","25.80%"
"08/01/2010","6.24","5.96","6.54","5.88","2.27B","5.94%"
"07/01/2010","5.89","5.45","6.24","5.29","3.51B","7.88%"
"06/01/2010","5.46","6.25","6.46","5.30","2.67B","-12.92%"
"05/01/2010","6.27","6.86","6.97","5.88","2.82B","-8.60%"
"04/01/2010","6.86","6.79","7.55","6.54","3.46B","1.03%"
"03/01/2010","6.79","5.94","6.91","5.88","3.16B","14.70%"
"02/01/2010","5.92","6.16","6.24","5.69","4.20B","-5.58%"
"01/01/2010","6.27","6.81","6.83","5.91","4.62B","-6.84%"
"12/01/2009","6.73","6.85","7.30","6.28","4.15B","-1.03%"
"11/01/2009","6.80","5.93","6.80","5.81","3.21B","14.48%"
"10/01/2009","5.94","4.62","6.28","4.41","5.37B","27.19%"
"09/01/2009","4.67","4.04","4.72","3.88","2.56B","15.02%"
"08/01/2009","4.06","4.33","4.41","4.01","2.25B","-5.36%"
"07/01/2009","4.29","4.22","4.72","3.77","3.51B","2.63%"
"06/01/2009","4.18","3.91","4.43","3.81","3.04B","7.18%"
"05/01/2009","3.90","4.02","4.18","3.65","2.75B","-3.23%"
"04/01/2009","4.03","3.65","4.33","3.59","3.70B","9.81%"
"03/01/2009","3.67","3.20","3.78","2.99","4.55B","13.27%"
"02/01/2009","3.24","2.93","3.37","2.91","3.74B","10.20%"
"01/01/2009","2.94","2.57","2.99","2.38","4.09B","14.84%"
"12/01/2008","2.56","2.10","2.74","1.94","4.13B","20.19%"
"11/01/2008","2.13","2.82","2.94","1.73","4.57B","-25.52%"
"10/01/2008","2.86","3.59","3.60","2.17","6.64B","-21.43%"
"09/01/2008","3.64","4.16","4.34","3.07","3.85B","-9.90%"
"08/01/2008","4.04","3.82","4.59","3.70","2.98B","5.76%"
"07/01/2008","3.82","3.61","4.12","3.15","4.32B","4.09%"
"06/01/2008","3.67","4.06","4.24","3.63","3.07B","-10.05%"
"05/01/2008","4.08","3.92","4.24","3.58","3.05B","3.82%"
"04/01/2008","3.93","3.65","4.13","3.53","3.96B","10.39%"
"03/01/2008","3.56","3.18","3.85","3.06","3.85B","10.56%"
"02/01/2008","3.22","3.95","3.97","3.20","4.23B","-17.01%"
"01/01/2008","3.88","4.77","4.87","3.44","5.77B","-16.20%"
"12/01/2007","4.63","4.50","4.80","4.19","2.54B","2.21%"
"11/01/2007","4.53","4.39","4.57","3.83","3.60B","1.57%"
"10/01/2007","4.46","4.67","5.05","4.16","4.64B","-4.29%"
"09/01/2007","4.66","4.00","4.71","3.99","2.45B","16.50%"
"08/01/2007","4.00","3.90","4.04","3.50","3.51B","1.78%"
"07/01/2007","3.93","3.44","4.45","3.40","5.32B","14.91%"
"06/01/2007","3.42","3.44","3.74","3.34","4.79B","-1.16%"
"05/01/2007","3.46","3.06","3.67","2.98","6.61B","12.70%"
"04/01/2007","3.07","1.99","3.19","1.98","6.98B","54.27%"
"03/01/2007","1.99","1.97","2.01","1.85","2.85B","1.53%"
"02/01/2007","1.96","1.90","2.10","1.83","3.18B","4.26%"
"01/01/2007","1.88","1.93","1.96","1.81","2.61B","-4.57%"
"12/01/2006","1.97","2.01","2.03","1.89","2.43B","-2.48%"
"11/01/2006","2.02","1.91","2.16","1.84","2.94B","6.32%"
"10/01/2006","1.90","1.60","1.93","1.53","4.13B","18.01%"
"09/01/2006","1.61","1.54","1.64","1.48","2.92B","4.55%"
"08/01/2006","1.54","1.33","1.55","1.29","3.19B","14.93%"
"07/01/2006","1.34","1.93","1.93","1.30","4.59B","-30.57%"
"06/01/2006","1.93","1.73","1.94","1.62","2.30B","11.56%"
"05/01/2006","1.73","1.76","1.82","1.58","2.91B","-1.70%"
"04/01/2006","1.76","1.83","1.94","1.75","2.14B","-3.83%"
"03/01/2006","1.83","1.87","1.89","1.76","2.44B","-2.14%"
"02/01/2006","1.87","2.20","2.23","1.85","3.31B","-16.52%"
"01/01/2006","2.24","2.37","2.43","2.15","2.47B","-5.08%"
"12/01/2005","2.36","2.44","2.50","2.36","2.42B","-2.48%"
"11/01/2005","2.42","2.00","2.47","1.98","4.33B","21.61%"
"10/01/2005","1.99","2.27","2.35","1.94","2.96B","-12.33%"
"09/01/2005","2.27","2.13","2.29","2.02","2.10B","6.57%"
"08/01/2005","2.13","2.24","2.35","2.10","2.31B","-5.75%"
"07/01/2005","2.26","1.66","2.29","1.64","3.69B","36.97%"
"06/01/2005","1.65","1.78","1.85","1.65","2.13B","-7.30%"
"05/01/2005","1.78","1.61","1.80","1.60","2.34B","9.88%"
"04/01/2005","1.62","1.73","1.77","1.53","3.32B","-5.26%"
"03/01/2005","1.71","1.75","1.82","1.64","2.40B","-2.84%"
"02/01/2005","1.76","2.15","2.18","1.66","4.42B","-18.52%"
"01/01/2005","2.16","2.25","2.27","2.01","3.91B","-2.26%"
"12/01/2004","2.21","2.00","2.28","1.90","3.53B","11.62%"
"11/01/2004","1.98","1.71","2.08","1.71","3.38B","15.79%"